id,date,type,distance,moving_time,total_elevation_gain,average_speed,average_heartrate,max_heartrate,average_watts,weighted_average_watts,trainer,gear_id,distance_km,speed_kmh
15669452341,2025-09-02 00:00:00,root='VirtualRide',26509.0,2799,345.0,9.471,147.5,178.0,271.4,314.0,False,b7688713,26.509,34.095600000000005
15657686589,2025-09-01 00:00:00,root='Run',1678.9,456,6.0,3.682,,,,,False,g25150502,1.6789,13.2552
15626588321,2025-08-29 00:00:00,root='Ride',85620.2,11998,1660.0,7.136,134.7,183.0,210.2,249.0,False,b7688713,85.6202,25.689600000000002
15617931226,2025-08-28 00:00:00,root='Hike',7615.7,6880,323.0,1.107,,,,,False,,7.6156999999999995,3.9852
15617925547,2025-08-27 00:00:00,root='Hike',8013.6,6557,259.0,1.222,,,,,False,,8.0136,4.3992
15593859896,2025-08-26 00:00:00,root='Ride',38178.4,6269,765.0,6.09,118.1,148.0,171.0,205.0,False,b7688713,38.1784,21.924
15582454388,2025-08-25 00:00:00,root='Hike',20057.5,17173,931.0,1.168,,,,,False,,20.0575,4.2048
15570741253,2025-08-24 00:00:00,root='Ride',80266.5,12332,1693.0,6.509,128.9,177.0,193.2,234.0,False,b7688713,80.2665,23.4324
15538231309,2025-08-21 00:00:00,root='Ride',49133.0,4910,34.0,10.007,130.4,148.0,241.7,242.0,False,b7688713,49.133,36.0252
15532405676,2025-08-21 00:00:00,root='Ride',48159.5,5440,36.0,8.853,132.8,142.0,218.1,219.0,False,b7688713,48.1595,31.8708
15516613714,2025-08-19 00:00:00,root='Ride',80392.4,7320,47.0,10.983,145.9,176.0,252.5,266.0,False,b7688713,80.3924,39.5388
15486900372,2025-08-17 00:00:00,root='Ride',100567.0,11376,244.0,8.84,130.6,173.0,223.9,244.0,False,b7688713,100.567,31.824
15478500722,2025-08-16 00:00:00,root='Ride',76303.4,8775,19.0,8.696,122.9,139.0,200.8,198.0,False,b7688713,76.3034,31.3056
15468811793,2025-08-15 00:00:00,root='Run',1878.6,569,,3.302,,,,,False,g19996925,1.8785999999999998,11.8872
15458511983,2025-08-14 00:00:00,root='Ride',49036.0,5376,44.0,9.121,126.0,143.0,215.9,216.0,False,b16138567,49.036,32.8356
15452632997,2025-08-14 00:00:00,root='Ride',48065.6,5169,41.0,9.299,127.6,136.0,210.9,213.0,False,b16138567,48.065599999999996,33.4764
15436524734,2025-08-12 00:00:00,root='Ride',61263.7,5799,22.0,10.565,144.7,181.0,226.0,241.0,False,b7688713,61.2637,38.034
15425449515,2025-08-11 00:00:00,root='Swim',810.4,1020,4.0,0.795,,,,,False,,0.8104,2.862
15408473651,2025-08-10 00:00:00,root='Ride',87283.5,9981,76.0,8.745,125.1,141.0,204.3,207.0,False,b7688713,87.2835,31.482
15396953331,2025-08-09 00:00:00,root='Ride',73383.0,7247,121.0,10.126,140.3,167.0,236.8,247.0,False,b16138567,73.383,36.4536
15379983825,2025-08-07 00:00:00,root='Ride',52964.2,5412,64.0,9.786,131.8,171.0,217.9,236.0,False,b16138567,52.9642,35.2296
15343450030,2025-08-04 00:00:00,root='Run',7692.8,2351,4.4,3.272,,,,,False,g25150502,7.6928,11.7792
15328791532,2025-08-03 00:00:00,root='Ride',148986.0,15949,141.0,9.341,143.1,179.0,222.6,234.0,False,b7688713,148.986,33.6276
15314958557,2025-07-31 00:00:00,root='Swim',1030.7,1281,,0.805,,,,,False,,1.0307,2.898
15260694780,2025-07-28 00:00:00,root='Run',9350.8,3233,172.0,2.892,126.6,160.0,364.8,350.0,False,g25150502,9.3508,10.4112
15260691626,2025-07-27 00:00:00,root='Run',4461.6,1602,73.0,2.785,123.4,144.0,370.5,346.0,False,g19996925,4.461600000000001,10.026000000000002
15223212350,2025-07-24 00:00:00,root='Ride',52981.9,5626,29.0,9.417,137.6,167.0,234.9,247.0,False,b7688713,52.9819,33.9012
15217499191,2025-07-24 00:00:00,root='Ride',48709.6,5164,28.0,9.433,125.1,137.0,210.8,211.0,False,b7688713,48.7096,33.958800000000004
15200403098,2025-07-22 00:00:00,root='Run',10261.7,3301,68.0,3.109,130.8,141.0,400.1,387.0,False,g19996925,10.261700000000001,11.192400000000001
15173468337,2025-07-20 00:00:00,root='Ride',75066.5,8107,129.0,9.259,131.3,155.0,227.4,231.0,False,b7688713,75.0665,33.3324
15164421107,2025-07-19 00:00:00,root='Ride',114079.0,12340,104.0,9.245,133.6,156.0,218.6,218.0,False,b7688713,114.079,33.282
15099489387,2025-07-13 00:00:00,root='Run',21532.8,6828,161.0,3.154,163.5,173.0,389.8,405.0,False,g19996876,21.532799999999998,11.3544
15162102055,2025-07-13 00:00:00,root='Ride',88833.2,8741,659.0,10.163,,,240.8,248.0,False,b7688713,88.83319999999999,36.586800000000004
15099489293,2025-07-13 00:00:00,root='Ride',90355.0,8924,766.0,10.125,152.8,164.0,278.3,,False,b16138567,90.355,36.45
15099489272,2025-07-13 00:00:00,root='Swim',1898.5,1988,4.9,0.955,118.2,134.0,,,False,,1.8985,3.4379999999999997
15086156249,2025-07-12 00:00:00,root='Ride',24516.8,2691,84.0,9.111,120.5,148.0,175.7,197.0,False,b16138567,24.5168,32.799600000000005
15081660447,2025-07-11 00:00:00,root='Swim',1010.6,1129,3.0,0.895,133.5,149.0,,,False,,1.0106,3.222
15059352914,2025-07-09 00:00:00,root='Ride',50511.4,5704,27.0,8.855,121.3,143.0,221.4,220.0,False,b7688713,50.5114,31.878000000000004
15053744377,2025-07-09 00:00:00,root='Ride',49623.6,5523,33.0,8.985,122.3,133.0,213.6,213.0,False,b7688713,49.623599999999996,32.346
15048281114,2025-07-08 00:00:00,root='Run',7036.1,2320,68.0,3.033,122.7,131.0,390.8,384.0,False,g19996925,7.0361,10.9188
15036701100,2025-07-07 00:00:00,root='Swim',2036.4,2463,,0.827,129.6,154.0,,,False,,2.0364,2.9772
15023939382,2025-07-06 00:00:00,root='Run',12810.4,3602,34.0,3.556,158.6,165.0,449.4,449.0,False,g19996876,12.8104,12.8016
15023122885,2025-07-06 00:00:00,root='VirtualRide',74258.7,7240,413.0,10.257,147.9,158.0,255.3,256.0,False,b16138567,74.25869999999999,36.9252
15006760647,2025-07-04 00:00:00,root='Run',8045.3,2645,55.0,3.042,129.7,141.0,388.3,385.0,False,g19996925,8.045300000000001,10.9512
